product_a,product_a_name,product_b,product_b_name,times_bought_together
prod_00023,Reactive Bandwidth-Monitored Application,prod_00032,Business-Focused Optimal Matrices,2
prod_00028,Horizontal Interactive Standardization,prod_00043,Multi-Layered Executive Complexity,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00047,Distributed Encompassing Forecast,2
prod_00031,Centralized Value-Added Functionalities,prod_00094,Devolved Maximized Secured Line,2
prod_00039,Persevering Foreground System Engine,prod_00059,Multi-Channeled Zero-Defect Open Architecture,2
prod_00048,Expanded Transitional Graphical User Interface,prod_00049,Sharable Empowering Middleware,2
prod_00001,Integrated Disintermediate Approach,prod_00022,Persistent Dynamic Archive,2
prod_00066,Switchable Content-Based Initiative,prod_00074,Public-Key Systemic Success,2
prod_00052,Sharable Empowering Complexity,prod_00076,Secured Foreground Protocol,2
prod_00046,Fundamental Bifurcated Benchmark,prod_00070,Customer-Focused Radical Internet Solution,2
prod_00043,Multi-Layered Executive Complexity,prod_00061,Open-Source 4Thgeneration Conglomeration,2
prod_00047,Distributed Encompassing Forecast,prod_00092,Face-To-Face Context-Sensitive Website,2
prod_00011,Face-To-Face 24Hour Archive,prod_00076,Secured Foreground Protocol,2
prod_00036,Secured Attitude-Oriented Instruction Set,prod_00092,Face-To-Face Context-Sensitive Website,2
prod_00020,Ergonomic Content-Based Monitoring,prod_00058,Multi-Channeled Demand-Driven Software,2
prod_00071,Upgradable Zero Tolerance Functionalities,prod_00085,Switchable Scalable Process Improvement,2
prod_00035,Front-Line Impactful Capability,prod_00051,Balanced 24Hour Groupware,2
prod_00002,Configurable Attitude-Oriented Superstructure,prod_00078,Inverse Impactful Standardization,2
prod_00041,Public-Key Didactic Middleware,prod_00064,Automated Methodical Definition,2
prod_00026,Extended Impactful Approach,prod_00066,Switchable Content-Based Initiative,2
prod_00074,Public-Key Systemic Success,prod_00095,Right-Sized Foreground System Engine,2
prod_00086,Cross-Group Web-Enabled Encoding,prod_00089,Re-Engineered Content-Based Structure,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00092,Face-To-Face Context-Sensitive Website,2
prod_00028,Horizontal Interactive Standardization,prod_00039,Persevering Foreground System Engine,2
prod_00071,Upgradable Zero Tolerance Functionalities,prod_00090,Proactive Impactful Encryption,2
prod_00018,Streamlined Secondary Attitude,prod_00082,Optional Zero Tolerance Paradigm,2
prod_00039,Persevering Foreground System Engine,prod_00082,Optional Zero Tolerance Paradigm,2
prod_00018,Streamlined Secondary Attitude,prod_00024,Advanced Background System Engine,2
prod_00020,Ergonomic Content-Based Monitoring,prod_00092,Face-To-Face Context-Sensitive Website,2
prod_00074,Public-Key Systemic Success,prod_00083,Persistent Leadingedge Intranet,2
prod_00009,Fully-Configurable Directional Architecture,prod_00069,Enhanced Optimal Firmware,2
prod_00039,Persevering Foreground System Engine,prod_00064,Automated Methodical Definition,2
prod_00043,Multi-Layered Executive Complexity,prod_00068,Synergistic National Groupware,2
prod_00043,Multi-Layered Executive Complexity,prod_00097,Reactive Local Complexity,2
prod_00080,User-Friendly Context-Sensitive Pricing Structure,prod_00097,Reactive Local Complexity,2
prod_00051,Balanced 24Hour Groupware,prod_00064,Automated Methodical Definition,2
prod_00073,Triple-Buffered Intermediate Ability,prod_00096,Seamless Uniform Middleware,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00079,Ergonomic Intangible Secured Line,2
prod_00046,Fundamental Bifurcated Benchmark,prod_00096,Seamless Uniform Middleware,2
prod_00005,Fundamental Multi-Tasking Portal,prod_00060,User-Friendly Coherent Encoding,2
prod_00021,Devolved Interactive Contingency,prod_00033,Diverse Analyzing Migration,2
prod_00031,Centralized Value-Added Functionalities,prod_00038,Object-Based Clear-Thinking Secured Line,2
prod_00081,Reactive 24Hour Framework,prod_00090,Proactive Impactful Encryption,2
prod_00006,Extended Needs-Based System Engine,prod_00051,Balanced 24Hour Groupware,2
prod_00020,Ergonomic Content-Based Monitoring,prod_00093,Business-Focused Next Generation Encryption,2
prod_00031,Centralized Value-Added Functionalities,prod_00043,Multi-Layered Executive Complexity,2
prod_00014,De-Engineered Uniform Orchestration,prod_00039,Persevering Foreground System Engine,2
prod_00012,Automated Full-Range Archive,prod_00031,Centralized Value-Added Functionalities,2
prod_00000,Pre-Emptive 3Rdgeneration Budgetary Management,prod_00058,Multi-Channeled Demand-Driven Software,2
prod_00004,De-Engineered Stable Leverage,prod_00059,Multi-Channeled Zero-Defect Open Architecture,2
prod_00093,Business-Focused Next Generation Encryption,prod_00097,Reactive Local Complexity,2
prod_00094,Devolved Maximized Secured Line,prod_00098,Fundamental Web-Enabled Encryption,2
prod_00030,Implemented Didactic Approach,prod_00032,Business-Focused Optimal Matrices,2
prod_00059,Multi-Channeled Zero-Defect Open Architecture,prod_00068,Synergistic National Groupware,2
prod_00004,De-Engineered Stable Leverage,prod_00045,Reactive Exuding Protocol,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00065,Persevering Grid-Enabled Function,2
prod_00003,Cloned Well-Modulated Monitoring,prod_00012,Automated Full-Range Archive,2
prod_00046,Fundamental Bifurcated Benchmark,prod_00062,Open-Source Static Support,2
prod_00029,Switchable Transitional Matrix,prod_00085,Switchable Scalable Process Improvement,2
prod_00031,Centralized Value-Added Functionalities,prod_00055,Automated Holistic Paradigm,2
prod_00008,Organic Multi-State Knowledge User,prod_00029,Switchable Transitional Matrix,2
prod_00076,Secured Foreground Protocol,prod_00097,Reactive Local Complexity,2
prod_00062,Open-Source Static Support,prod_00097,Reactive Local Complexity,2
prod_00047,Distributed Encompassing Forecast,prod_00065,Persevering Grid-Enabled Function,2
prod_00001,Integrated Disintermediate Approach,prod_00096,Seamless Uniform Middleware,2
prod_00047,Distributed Encompassing Forecast,prod_00077,Profit-Focused Fault-Tolerant Secured Line,2
prod_00062,Open-Source Static Support,prod_00076,Secured Foreground Protocol,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00014,De-Engineered Uniform Orchestration,2
prod_00027,Multi-Tiered 24Hour Info-Mediaries,prod_00040,Persevering Regional Open System,2
prod_00058,Multi-Channeled Demand-Driven Software,prod_00070,Customer-Focused Radical Internet Solution,2
prod_00025,Down-Sized Incremental Matrix,prod_00083,Persistent Leadingedge Intranet,2
prod_00005,Fundamental Multi-Tasking Portal,prod_00038,Object-Based Clear-Thinking Secured Line,2
prod_00020,Ergonomic Content-Based Monitoring,prod_00038,Object-Based Clear-Thinking Secured Line,2
prod_00037,Intuitive Empowering Database,prod_00049,Sharable Empowering Middleware,2
prod_00061,Open-Source 4Thgeneration Conglomeration,prod_00091,Team-Oriented 24Hour System Engine,2
prod_00015,Phased Incremental Core,prod_00025,Down-Sized Incremental Matrix,2
prod_00038,Object-Based Clear-Thinking Secured Line,prod_00096,Seamless Uniform Middleware,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00098,Fundamental Web-Enabled Encryption,2
prod_00017,Open-Source Maximized Superstructure,prod_00095,Right-Sized Foreground System Engine,2
prod_00040,Persevering Regional Open System,prod_00068,Synergistic National Groupware,2
prod_00040,Persevering Regional Open System,prod_00065,Persevering Grid-Enabled Function,2
prod_00001,Integrated Disintermediate Approach,prod_00059,Multi-Channeled Zero-Defect Open Architecture,2
prod_00053,Triple-Buffered Interactive Open Architecture,prod_00084,Phased User-Facing Concept,2
prod_00014,De-Engineered Uniform Orchestration,prod_00089,Re-Engineered Content-Based Structure,2
prod_00039,Persevering Foreground System Engine,prod_00048,Expanded Transitional Graphical User Interface,2
prod_00033,Diverse Analyzing Migration,prod_00039,Persevering Foreground System Engine,2
prod_00015,Phased Incremental Core,prod_00054,Customizable Asynchronous Solution,2
prod_00001,Integrated Disintermediate Approach,prod_00012,Automated Full-Range Archive,2
prod_00021,Devolved Interactive Contingency,prod_00062,Open-Source Static Support,2
prod_00049,Sharable Empowering Middleware,prod_00081,Reactive 24Hour Framework,2
prod_00057,Integrated High-Level Utilization,prod_00058,Multi-Channeled Demand-Driven Software,2
prod_00024,Advanced Background System Engine,prod_00031,Centralized Value-Added Functionalities,2
prod_00015,Phased Incremental Core,prod_00094,Devolved Maximized Secured Line,2
prod_00030,Implemented Didactic Approach,prod_00089,Re-Engineered Content-Based Structure,2
prod_00012,Automated Full-Range Archive,prod_00026,Extended Impactful Approach,2
prod_00059,Multi-Channeled Zero-Defect Open Architecture,prod_00082,Optional Zero Tolerance Paradigm,2
prod_00049,Sharable Empowering Middleware,prod_00091,Team-Oriented 24Hour System Engine,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00055,Automated Holistic Paradigm,2
prod_00087,Digitized 4Thgeneration Analyzer,prod_00091,Team-Oriented 24Hour System Engine,2
prod_00046,Fundamental Bifurcated Benchmark,prod_00061,Open-Source 4Thgeneration Conglomeration,2
prod_00076,Secured Foreground Protocol,prod_00083,Persistent Leadingedge Intranet,2
prod_00012,Automated Full-Range Archive,prod_00073,Triple-Buffered Intermediate Ability,2
prod_00058,Multi-Channeled Demand-Driven Software,prod_00074,Public-Key Systemic Success,2
prod_00055,Automated Holistic Paradigm,prod_00078,Inverse Impactful Standardization,2
prod_00033,Diverse Analyzing Migration,prod_00084,Phased User-Facing Concept,2
prod_00035,Front-Line Impactful Capability,prod_00048,Expanded Transitional Graphical User Interface,2
prod_00053,Triple-Buffered Interactive Open Architecture,prod_00087,Digitized 4Thgeneration Analyzer,2
prod_00092,Face-To-Face Context-Sensitive Website,prod_00093,Business-Focused Next Generation Encryption,2
prod_00018,Streamlined Secondary Attitude,prod_00060,User-Friendly Coherent Encoding,2
prod_00071,Upgradable Zero Tolerance Functionalities,prod_00098,Fundamental Web-Enabled Encryption,2
prod_00023,Reactive Bandwidth-Monitored Application,prod_00049,Sharable Empowering Middleware,2
prod_00032,Business-Focused Optimal Matrices,prod_00098,Fundamental Web-Enabled Encryption,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00026,Extended Impactful Approach,2
prod_00041,Public-Key Didactic Middleware,prod_00077,Profit-Focused Fault-Tolerant Secured Line,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00030,Implemented Didactic Approach,2
prod_00004,De-Engineered Stable Leverage,prod_00012,Automated Full-Range Archive,2
prod_00061,Open-Source 4Thgeneration Conglomeration,prod_00094,Devolved Maximized Secured Line,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00090,Proactive Impactful Encryption,2
prod_00026,Extended Impactful Approach,prod_00095,Right-Sized Foreground System Engine,2
prod_00028,Horizontal Interactive Standardization,prod_00029,Switchable Transitional Matrix,2
prod_00025,Down-Sized Incremental Matrix,prod_00093,Business-Focused Next Generation Encryption,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00076,Secured Foreground Protocol,2
prod_00043,Multi-Layered Executive Complexity,prod_00094,Devolved Maximized Secured Line,2
prod_00007,Open-Architected Static Projection,prod_00040,Persevering Regional Open System,2
prod_00017,Open-Source Maximized Superstructure,prod_00089,Re-Engineered Content-Based Structure,2
prod_00033,Diverse Analyzing Migration,prod_00086,Cross-Group Web-Enabled Encoding,2
prod_00058,Multi-Channeled Demand-Driven Software,prod_00079,Ergonomic Intangible Secured Line,2
prod_00008,Organic Multi-State Knowledge User,prod_00022,Persistent Dynamic Archive,2
prod_00083,Persistent Leadingedge Intranet,prod_00095,Right-Sized Foreground System Engine,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00055,Automated Holistic Paradigm,2
prod_00081,Reactive 24Hour Framework,prod_00096,Seamless Uniform Middleware,2
prod_00015,Phased Incremental Core,prod_00022,Persistent Dynamic Archive,2
prod_00023,Reactive Bandwidth-Monitored Application,prod_00074,Public-Key Systemic Success,2
prod_00033,Diverse Analyzing Migration,prod_00093,Business-Focused Next Generation Encryption,2
prod_00076,Secured Foreground Protocol,prod_00081,Reactive 24Hour Framework,2
prod_00020,Ergonomic Content-Based Monitoring,prod_00077,Profit-Focused Fault-Tolerant Secured Line,2
prod_00045,Reactive Exuding Protocol,prod_00071,Upgradable Zero Tolerance Functionalities,2
prod_00009,Fully-Configurable Directional Architecture,prod_00074,Public-Key Systemic Success,2
prod_00076,Secured Foreground Protocol,prod_00095,Right-Sized Foreground System Engine,2
prod_00020,Ergonomic Content-Based Monitoring,prod_00033,Diverse Analyzing Migration,2
prod_00017,Open-Source Maximized Superstructure,prod_00087,Digitized 4Thgeneration Analyzer,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00088,Seamless Zero Administration Archive,2
prod_00060,User-Friendly Coherent Encoding,prod_00081,Reactive 24Hour Framework,2
prod_00032,Business-Focused Optimal Matrices,prod_00060,User-Friendly Coherent Encoding,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00065,Persevering Grid-Enabled Function,2
prod_00025,Down-Sized Incremental Matrix,prod_00033,Diverse Analyzing Migration,2
prod_00041,Public-Key Didactic Middleware,prod_00076,Secured Foreground Protocol,2
prod_00061,Open-Source 4Thgeneration Conglomeration,prod_00067,Grass-Roots Asymmetric Throughput,2
prod_00047,Distributed Encompassing Forecast,prod_00093,Business-Focused Next Generation Encryption,2
prod_00017,Open-Source Maximized Superstructure,prod_00082,Optional Zero Tolerance Paradigm,2
prod_00047,Distributed Encompassing Forecast,prod_00061,Open-Source 4Thgeneration Conglomeration,2
prod_00019,Open-Architected Upward-Trending Graphical User Interface,prod_00030,Implemented Didactic Approach,2
prod_00040,Persevering Regional Open System,prod_00060,User-Friendly Coherent Encoding,2
prod_00080,User-Friendly Context-Sensitive Pricing Structure,prod_00092,Face-To-Face Context-Sensitive Website,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00044,Triple-Buffered Exuding Pricing Structure,2
prod_00048,Expanded Transitional Graphical User Interface,prod_00071,Upgradable Zero Tolerance Functionalities,2
prod_00057,Integrated High-Level Utilization,prod_00077,Profit-Focused Fault-Tolerant Secured Line,2
prod_00002,Configurable Attitude-Oriented Superstructure,prod_00013,Front-Line Even-Keeled Secured Line,2
prod_00006,Extended Needs-Based System Engine,prod_00022,Persistent Dynamic Archive,2
prod_00032,Business-Focused Optimal Matrices,prod_00083,Persistent Leadingedge Intranet,2
prod_00025,Down-Sized Incremental Matrix,prod_00097,Reactive Local Complexity,2
prod_00014,De-Engineered Uniform Orchestration,prod_00094,Devolved Maximized Secured Line,2
prod_00021,Devolved Interactive Contingency,prod_00097,Reactive Local Complexity,2
prod_00037,Intuitive Empowering Database,prod_00070,Customer-Focused Radical Internet Solution,2
prod_00059,Multi-Channeled Zero-Defect Open Architecture,prod_00097,Reactive Local Complexity,2
prod_00006,Extended Needs-Based System Engine,prod_00074,Public-Key Systemic Success,2
prod_00060,User-Friendly Coherent Encoding,prod_00061,Open-Source 4Thgeneration Conglomeration,2
prod_00026,Extended Impactful Approach,prod_00090,Proactive Impactful Encryption,2
prod_00031,Centralized Value-Added Functionalities,prod_00071,Upgradable Zero Tolerance Functionalities,2
prod_00024,Advanced Background System Engine,prod_00045,Reactive Exuding Protocol,1
prod_00026,Extended Impactful Approach,prod_00076,Secured Foreground Protocol,1
prod_00046,Fundamental Bifurcated Benchmark,prod_00052,Sharable Empowering Complexity,1
prod_00054,Customizable Asynchronous Solution,prod_00060,User-Friendly Coherent Encoding,1
prod_00001,Integrated Disintermediate Approach,prod_00009,Fully-Configurable Directional Architecture,1
prod_00084,Phased User-Facing Concept,prod_00092,Face-To-Face Context-Sensitive Website,1
prod_00004,De-Engineered Stable Leverage,prod_00070,Customer-Focused Radical Internet Solution,1
prod_00051,Balanced 24Hour Groupware,prod_00085,Switchable Scalable Process Improvement,1
prod_00011,Face-To-Face 24Hour Archive,prod_00060,User-Friendly Coherent Encoding,1
prod_00050,Function-Based Actuating Array,prod_00069,Enhanced Optimal Firmware,1
prod_00038,Object-Based Clear-Thinking Secured Line,prod_00070,Customer-Focused Radical Internet Solution,1
prod_00017,Open-Source Maximized Superstructure,prod_00059,Multi-Channeled Zero-Defect Open Architecture,1
prod_00082,Optional Zero Tolerance Paradigm,prod_00087,Digitized 4Thgeneration Analyzer,1
prod_00028,Horizontal Interactive Standardization,prod_00077,Profit-Focused Fault-Tolerant Secured Line,1
prod_00062,Open-Source Static Support,prod_00092,Face-To-Face Context-Sensitive Website,1
prod_00035,Front-Line Impactful Capability,prod_00036,Secured Attitude-Oriented Instruction Set,1
prod_00048,Expanded Transitional Graphical User Interface,prod_00086,Cross-Group Web-Enabled Encoding,1
prod_00064,Automated Methodical Definition,prod_00073,Triple-Buffered Intermediate Ability,1
prod_00069,Enhanced Optimal Firmware,prod_00093,Business-Focused Next Generation Encryption,1
prod_00005,Fundamental Multi-Tasking Portal,prod_00096,Seamless Uniform Middleware,1
prod_00007,Open-Architected Static Projection,prod_00042,De-Engineered Grid-Enabled Architecture,1
prod_00048,Expanded Transitional Graphical User Interface,prod_00069,Enhanced Optimal Firmware,1
prod_00015,Phased Incremental Core,prod_00029,Switchable Transitional Matrix,1
prod_00010,Reverse-Engineered Neutral Emulation,prod_00042,De-Engineered Grid-Enabled Architecture,1
prod_00039,Persevering Foreground System Engine,prod_00058,Multi-Channeled Demand-Driven Software,1
prod_00017,Open-Source Maximized Superstructure,prod_00055,Automated Holistic Paradigm,1
prod_00073,Triple-Buffered Intermediate Ability,prod_00086,Cross-Group Web-Enabled Encoding,1
prod_00068,Synergistic National Groupware,prod_00094,Devolved Maximized Secured Line,1
prod_00011,Face-To-Face 24Hour Archive,prod_00031,Centralized Value-Added Functionalities,1
prod_00002,Configurable Attitude-Oriented Superstructure,prod_00081,Reactive 24Hour Framework,1
prod_00046,Fundamental Bifurcated Benchmark,prod_00078,Inverse Impactful Standardization,1
prod_00019,Open-Architected Upward-Trending Graphical User Interface,prod_00073,Triple-Buffered Intermediate Ability,1
prod_00076,Secured Foreground Protocol,prod_00080,User-Friendly Context-Sensitive Pricing Structure,1
prod_00017,Open-Source Maximized Superstructure,prod_00067,Grass-Roots Asymmetric Throughput,1
prod_00007,Open-Architected Static Projection,prod_00016,Cross-Platform Stable Internet Solution,1
prod_00021,Devolved Interactive Contingency,prod_00058,Multi-Channeled Demand-Driven Software,1
prod_00027,Multi-Tiered 24Hour Info-Mediaries,prod_00038,Object-Based Clear-Thinking Secured Line,1
prod_00007,Open-Architected Static Projection,prod_00065,Persevering Grid-Enabled Function,1
prod_00042,De-Engineered Grid-Enabled Architecture,prod_00082,Optional Zero Tolerance Paradigm,1
